set,act,trial,start,end
1,1,1,8.427879095077515,11.599621057510376
1,1,2,16.367552518844604,19.529180765151978
1,1,3,23.46351671218872,26.62912154197693
1,1,4,31.296753406524658,34.45482110977173
1,1,5,40.341184854507446,43.51265096664429
1,1,6,49.054022789001465,52.22406506538391
1,1,7,72.43960165977478,75.61607551574707
1,1,8,81.57665038108826,84.7476224899292
1,1,9,91.1794822216034,94.3425407409668
1,1,10,99.7668821811676,102.92467379570007
1,1,11,106.93880891799927,110.10374307632446
1,1,12,113.87584376335144,117.03409552574158
1,1,13,131.83558058738708,135.0010073184967
1,1,14,140.0862205028534,143.2430398464203
1,1,15,147.18921566009521,150.35321021080017
1,1,16,155.57480144500732,158.73504638671875
1,1,17,162.9125154018402,166.0896339416504
1,1,18,176.73518872261047,179.89437103271484
1,1,19,189.1595697402954,192.326984167099
1,1,20,196.65502834320068,199.8166744709015
1,1,21,204.09261870384216,207.24586582183838
1,1,22,213.42528200149536,216.57751846313477
1,1,23,221.66749453544617,224.82676553726196
1,1,24,229.66978430747986,232.82860851287842
1,2,1,275.26417565345764,278.42154598236084
1,2,2,280.8300714492798,283.9962453842163
1,2,3,287.0208194255829,290.20460987091064
1,2,4,292.8327555656433,296.00454449653625
1,2,5,298.9702298641205,302.1378507614136
1,2,6,305.11737632751465,308.2791633605957
1,2,7,317.28188610076904,320.42863273620605
1,2,8,323.23569774627686,326.40823340415955
1,2,9,329.93779730796814,333.09744095802307
1,2,10,336.7233352661133,339.89719820022583
1,2,11,343.37018179893494,346.5319619178772
1,2,12,349.50376558303833,352.67653465270996
1,2,13,385.50190114974976,388.65983963012695
1,2,14,391.1971740722656,394.3604407310486
1,2,15,397.54701256752014,400.7041139602661
1,2,16,403.2828652858734,406.4531629085541
1,2,17,408.90141248703003,412.0646846294403
1,2,18,414.80330324172974,417.9615352153778
1,2,19,445.5972123146057,448.7569069862366
1,2,20,451.3615491390228,454.5204825401306
1,2,21,457.06960225105286,460.22187089920044
1,2,22,463.02490067481995,466.1775505542755
1,2,23,468.7774713039398,471.93383264541626
1,2,24,474.58515644073486,477.7428283691406
