set,act,trial,start,end
1,1,1,123.54747653007507,126.76292967796326
1,1,2,135.5177755355835,138.75293922424316
1,1,3,145.96200013160706,149.19375920295715
1,1,4,157.5277078151703,160.75118827819824
1,1,5,170.70375084877014,173.91045784950256
1,1,6,183.04345273971558,186.26171493530273
1,2,1,209.46434044837952,212.67899823188782
1,2,2,217.44904589653015,220.6809093952179
1,2,3,225.9680426120758,229.2038974761963
1,2,4,236.54986357688904,239.76927185058594
1,2,5,244.17756152153015,247.3909831047058
1,2,6,252.833233833313,256.0488090515137
