time_s	ch1	ch2	ch3
2.396000	1.305176	1.268555	1.326416
2.397000	1.379883	1.220215	1.397461
2.397000	1.297852	1.409180	1.300049
2.398000	1.300049	1.300049	1.312500
2.398000	1.308105	1.267090	1.310303
2.398000	1.310303	1.253174	1.270752
2.399000	1.337402	1.357910	1.302246
2.399000	1.390137	1.346191	1.334473
2.400000	1.302246	1.319092	1.305908
2.400000	1.313232	1.302246	1.315430
2.401000	1.306641	1.314697	1.280273
2.402000	1.264160	1.290527	1.291992
2.402000	1.324951	1.316162	1.270752
2.403000	1.302979	1.360840	1.303711
2.404000	1.311768	1.411377	1.309570
2.404000	1.346191	1.300049	1.245117
2.438000	1.309570	1.130859	1.385742
2.439000	1.313965	1.209961	1.327148
2.440000	1.310303	1.354980	1.316895
2.441000	1.300781	1.376953	1.310303
2.442000	1.314697	1.346924	1.287598
2.442000	1.329346	1.291992	1.278809
2.443000	1.298584	1.249512	1.264160
2.443000	1.281738	1.395264	1.252441
2.444000	1.339600	1.248779	1.349121
2.444000	1.303711	1.212891	1.322021
2.445000	1.308838	1.442139	1.312500
2.445000	1.307373	1.379150	1.272217
2.446000	1.300049	1.338135	1.324951
2.447000	1.302979	1.274414	1.382812
2.447000	1.303711	1.316162	1.315430
2.450000	1.302246	1.302979	1.399658
2.454000	1.313232	1.306641	1.322021
2.455000	1.317627	1.346924	1.273682
2.455000	1.317627	1.304443	1.286133
2.455000	1.305176	1.316895	1.263428
2.456000	1.308105	1.326416	1.308838
2.456000	1.312500	1.336670	1.354248
2.456000	1.310303	1.272217	1.281738
2.457000	1.294189	1.239990	1.257568
2.457000	1.323486	1.364502	1.298584
2.488000	1.313965	1.326416	1.250244
2.489000	1.292725	1.155762	1.116943
2.489000	1.341064	1.335938	1.350586
2.491000	1.302979	1.518311	1.385010
2.491000	1.270752	1.337402	1.322021
2.492000	1.299316	1.410645	1.272949
2.493000	1.315430	1.353516	1.322754
2.493000	1.339600	1.145508	1.302246
2.494000	1.315430	1.229736	1.278809
2.494000	1.312500	1.373291	1.285400
2.495000	1.308105	1.369629	1.416504
2.496000	1.313965	1.305908	1.318359
2.496000	1.171143	1.308838	1.316895
2.496000	1.316162	1.352051	1.354980
2.497000	1.302246	1.341064	1.297852
2.497000	1.317627	1.333008	1.264160
2.498000	1.305908	1.294189	1.375488
2.499000	1.299316	1.237061	1.276611
2.500000	1.319824	1.328613	1.275146
2.500000	1.314697	1.360840	1.280273
2.501000	1.316895	1.294922	1.287598
2.501000	1.300049	1.329346	1.312500
2.502000	1.303711	1.293457	1.274414
2.503000	1.307373	1.395996	1.320557
2.503000	1.328613	1.366699	1.285400
2.539000	1.351318	1.279541	1.334473
2.540000	1.306641	1.192383	1.300049
2.540000	1.313965	1.372559	1.292725
2.541000	1.301514	1.479492	1.344727
2.547000	1.305908	1.294189	1.346924
2.547000	1.338135	1.231934	1.306641
2.548000	1.311035	1.309570	1.325684
2.548000	1.322021	1.352051	1.306641
2.548000	1.333740	1.291260	1.226807
2.549000	1.300049	1.329346	1.284668
2.549000	1.298584	1.289795	1.278809
2.549000	1.308105	1.343994	1.378418
2.550000	1.300049	1.235596	1.274414
2.550000	1.307373	1.221680	1.291992
2.550000	1.303711	1.258301	1.300049
2.551000	1.376953	1.309570	1.309570
2.551000	1.326416	1.406250	1.337402
2.552000	1.289062	1.378418	1.302246
2.552000	1.312500	1.283936	1.279541
2.552000	1.338135	1.349121	1.286133
2.553000	1.260498	1.339600	1.273682
2.553000	1.302979	1.317627	1.338135
2.553000	1.302979	1.236328	1.323486
2.554000	1.277344	1.349121	1.299316
2.554000	1.353516	1.415039	1.284668
