set,act,trial,start,end
1,1,1,13.03019404411316,16.287566423416138
1,1,2,20.744857788085938,24.000417709350586
1,1,3,27.89900803565979,31.139245748519897
1,1,4,36.58000159263611,39.80826735496521
1,1,5,44.370585441589355,47.5975022315979
1,1,6,52.30992245674133,55.55208921432495
1,1,7,67.00070476531982,70.24931263923645
1,1,8,74.00950932502747,77.2340579032898
1,1,9,80.90040183067322,84.13548684120178
1,1,10,88.62504720687866,91.86414980888367
1,1,11,95.96322059631348,99.20354056358337
1,1,12,102.90505456924438,106.14991593360901
1,1,13,116.79538202285767,120.02150225639343
1,1,14,123.44582509994507,126.68621611595154
1,1,15,131.26043558120728,134.49113154411316
1,1,16,139.12544107437134,142.36769247055054
1,1,17,145.93457961082458,149.1560263633728
1,1,18,154.2469358444214,157.4669225215912
1,1,19,167.2366771697998,170.4666132926941
1,1,20,174.4432168006897,177.67461371421814
1,1,21,183.46287751197815,186.70337462425232
1,1,22,190.6892957687378,193.89534664154053
1,1,23,206.4694128036499,209.70331954956055
1,1,24,214.47846865653992,217.71155643463135
1,2,1,249.16027998924255,252.4179174900055
1,2,2,256.46070170402527,259.685742855072
1,2,3,262.9843313694,266.2186782360077
1,2,4,269.2442398071289,272.4626407623291
1,2,5,277.5250732898712,280.7727189064026
1,2,6,283.5911521911621,286.82365345954895
1,2,7,297.1158256530762,300.3379909992218
1,2,8,303.6693711280823,306.90434312820435
1,2,9,310.65292406082153,313.870343208313
1,2,10,318.824467420578,322.06454062461853
1,2,11,327.0428376197815,330.27869606018066
1,2,12,334.04552817344666,337.2847034931183
1,2,13,347.8108878135681,351.0558636188507
1,2,14,355.815776348114,359.02991914749146
1,2,15,363.040079832077,366.2803580760956
1,2,16,370.06593894958496,373.3078911304474
1,2,17,376.916597366333,380.1450846195221
1,2,18,384.394807100296,387.6242482662201
1,2,19,402.195955991745,405.42168974876404
1,2,20,408.3457384109497,411.5942213535309
1,2,21,414.4222025871277,417.6566696166992
1,2,22,419.8256185054779,423.05752897262573
1,2,23,425.70532727241516,428.9406101703644
1,2,24,431.90555453300476,435.14361786842346
