frame_idx,t_ns
0,52561800
1,83835500
2,118005400
3,148039000
4,181530400
5,212406100
6,244348100
7,292900000
8,324419800
9,356454200
10,388758500
11,420423800
12,452601100
13,484073500
14,516117800
15,548238800
16,580173800
17,612219300
18,644380800
19,692099000
20,724137400
21,756035300
22,788158200
23,820697200
24,852859400
25,884275900
26,916142100
27,948005800
28,980092600
29,1012242800
30,1044301600
31,1092796300
32,1123950600
33,1156135000
34,1188372300
35,1220415700
36,1254398100
37,1284858400
38,1316416600
39,1348165100
40,1381271800
41,1411820400
42,1444066400
43,1492053300
44,1524600100
45,1558784000
46,1587942500
47,1622052900
48,1652545700
49,1684592400
50,1716253000
51,1749385000
52,1780114800
53,1812970000
54,1844228000
55,1892874600
56,1924121100
57,1956800400
58,1988397400
59,2020736300
60,2052705900
61,2085186600
62,2116107700
63,2148456300
64,2180131100
65,2212176700
66,2247179900
67,2292489300
68,2324012100
69,2356300300
70,2388321500
71,2420848000
72,2452172200
73,2484254400
74,2516544300
75,2548250900
76,2580178600
77,2612425800
78,2644223100
79,2693381800
80,2724607800
81,2756670400
82,2788367800
83,2820811400
84,2852217300
85,2887965700
86,2916997900
87,2951919300
88,2979965100
89,3011910900
90,3044048600
91,3092107200
92,3125513100
93,3156689400
94,3190813400
95,3220607600
96,3254729800
97,3284439800
98,3320398600
99,3348782100
100,3381384400
101,3412289500
102,3444246700
103,3498962400
104,3523993500
105,3556623300
106,3588404600
107,3620392100
108,3652117800
109,3686793800
110,3716752600
111,3749407700
112,3780270600
113,3813527800
114,3844319900
115,3893060700
116,3924362300
117,3956438100
118,3988733300
119,4020929500
120,4052042800
121,4084090800
122,4116259300
123,4148644800
124,4181446300
125,4212589400
126,4245753900
127,4292228000
128,4324618500
129,4356221400
130,4388076000
131,4420675400
132,4451966600
133,4484101300
134,4516792100
135,4548715300
136,4580621000
137,4612198800
138,4644143000
139,4693366000
140,4723903100
141,4756255400
142,4788612600
143,4820553300
144,4852684000
145,4884901300
146,4916678900
147,4948240200
148,4980901200
149,5012472000
150,5044696900
151,5092056900
152,5124675300
153,5156271600
154,5188547800
155,5220668900
156,5252874900
157,5284717100
158,5316754400
159,5348656100
160,5383789700
161,5412948400
162,5444056000
163,5493653900
164,5524958100
165,5556242400
166,5588263500
167,5625413200
168,5651892600
169,5684428200
170,5716498200
171,5750274900
172,5780689800
173,5816839500
174,5844706700
175,5892331900
176,5923998600
177,5956168400
178,5988080700
179,6020076800
180,6052433200
181,6084325100
182,6116462700
183,6148594500
184,6181199200
185,6212223200
186,6245279900
187,6292640900
188,6328973200
189,6355840800
190,6388273100
191,6419941400
192,6452718900
193,6484420500
194,6516432700
195,6548562900
196,6580690900
197,6614281800
198,6644601200
199,6695502900
