frame_idx,t_ns
0,51466900
1,84225900
2,132196700
3,164228800
4,196345200
5,227811100
6,260519400
7,291844000
8,324207300
9,356262300
10,387432800
11,421955200
12,451841100
13,483766400
14,531684900
15,564256800
16,595853700
17,627670800
18,661862800
19,692322600
20,724353100
21,755838500
22,793184500
23,820164600
24,857001700
25,883621200
26,932487600
27,963721600
28,995513600
29,1027573100
30,1060058100
31,1092222800
32,1123830800
33,1155920800
34,1188435600
35,1219747500
36,1251786800
37,1283783000
38,1331642700
39,1366080900
40,1396277100
41,1430961800
42,1459793700
43,1491917100
44,1523886300
45,1556106800
46,1588281300
47,1620362700
48,1652466500
49,1683324200
50,1732386600
51,1764710900
52,1796746400
53,1827937800
54,1861675200
55,1891731000
56,1927493000
57,1956004300
58,1987977700
59,2020306800
60,2053374600
61,2084175900
62,2131473900
63,2165804000
64,2195781700
65,2232790400
66,2259756900
67,2291768600
68,2323775800
69,2356369300
70,2388161700
71,2420303300
72,2451964200
73,2484418600
74,2532049300
75,2563494400
76,2596310200
77,2628506500
78,2660006700
79,2691531700
80,2723924400
81,2756522500
82,2788247600
83,2820472700
84,2852014200
85,2884330000
86,2934170200
87,2963394800
88,2995913700
89,3027866300
90,3061649700
91,3092268900
92,3123906300
93,3155898600
94,3188326000
95,3219737600
96,3252426200
97,3284020000
98,3331873400
99,3363747400
100,3395875300
101,3435074000
102,3459536300
103,3494484100
104,3524198200
105,3561756100
106,3588279900
107,3620242400
108,3651977200
109,3684227800
110,3732831900
111,3763315100
112,3796640400
113,3827668800
114,3860278400
115,3892307200
116,3924441900
117,3955713200
118,3990603400
119,4019891900
120,4054033300
121,4084740400
122,4118960800
123,4163912000
124,4195860500
125,4229393700
126,4259654200
127,4292242400
128,4323968700
129,4357404900
130,4388097300
131,4420343600
132,4452249500
133,4488433100
134,4516093000
135,4564611400
136,4595551800
137,4627546500
138,4659667100
139,4692488200
140,4723691100
141,4756069200
142,4787865400
143,4820016800
144,4856984300
145,4884431100
146,4916391300
147,4963668900
148,5001931300
149,5027551200
150,5059500000
151,5091954200
152,5124371100
153,5155880600
154,5188136200
155,5220196100
156,5251714800
157,5283936700
158,5316504900
159,5367310700
160,5396348400
161,5428346500
162,5459773500
163,5492777400
164,5524785800
165,5556176600
166,5587931400
167,5620277800
168,5652043200
169,5685281800
170,5716481500
171,5764216500
172,5800401200
173,5828683400
174,5861678200
175,5891921900
176,5923930600
177,5956223000
178,5991531700
179,6019967800
180,6056738300
181,6083916000
182,6117747300
183,6167231100
184,6197045000
185,6229270900
186,6260278500
187,6305130400
188,6323699900
189,6358826600
190,6388261300
191,6424244600
192,6452282800
193,6484001800
194,6516032300
195,6564070100
196,6595759600
197,6628297500
198,6660367600
199,6691887000
200,6724242300
201,6756684500
202,6788669700
203,6820737900
204,6852724200
205,6884153900
206,6915818900
207,6964086000
208,6995942100
209,7028372500
210,7059716100
211,7091881900
212,7129888900
213,7156240900
214,7188018800
215,7220072300
216,7252227300
217,7284009500
218,7316111000
219,7364897600
220,7396645400
221,7430511600
222,7461086500
223,7492256900
224,7523693800
225,7556584300
226,7587902300
227,7624811300
228,7652252200
229,7690258300
230,7716092000
231,7763894800
232,7796303400
233,7828681500
234,7861406200
235,7892210800
236,7926422300
237,7955811000
238,7989297900
239,8020139600
240,8055095500
241,8084170700
242,8118181000
243,8164641300
244,8196483800
245,8231234600
246,8260860900
247,8292444300
248,8324418500
249,8355772000
250,8388295800
251,8421434700
252,8452238900
253,8486608700
254,8516083400
255,8565507000
256,8596470300
257,8628289300
258,8660774600
259,8692758100
260,8725750500
261,8756603700
262,8788226100
263,8820232500
264,8852502900
265,8883958800
266,8917536100
267,8948298900
268,8996427000
269,9028038200
270,9063794100
271,9091811400
272,9129101100
273,9156546000
274,9188325300
275,9220017100
276,9252182900
277,9285541200
278,9316277100
279,9348273100
280,9395994100
281,9430748300
282,9459918200
283,9493771100
284,9523996200
285,9556998300
286,9588504400
287,9622678200
288,9652282900
289,9683584900
290,9715997900
291,9748726000
292,9800281800
293,9828510000
294,9860225600
295,9892259100
296,9924497100
297,9956429400
298,9991958700
299,10020129800
300,10053159100
301,10084393200
302,10119299300
303,10148134000
304,10195560100
305,10227978600
306,10260511100
307,10292803700
308,10324729200
309,10356700400
310,10388363400
311,10420039500
312,10452452700
313,10490648200
314,10515911000
315,10548433500
316,10596138300
317,10628148900
318,10660649900
319,10691893600
320,10723797500
321,10756485500
322,10790816400
323,10820576600
324,10854042300
325,10884688700
326,10916650900
327,10948255600
328,10997925700
329,11028495500
330,11060324300
331,11091768100
332,11124418100
333,11155974200
334,11188814600
335,11220578600
336,11251647000
337,11284454100
338,11316147200
339,11349183300
340,11395975500
341,11429055500
342,11460076100
343,11495501200
344,11524357500
345,11556889600
346,11587967700
347,11624193200
348,11652238400
349,11685395800
350,11716822200
351,11749217400
352,11801728900
353,11828038900
354,11861586700
355,11892867700
356,11923852200
357,11956487700
358,11994325000
359,12020767200
360,12058589300
361,12084074200
362,12116606300
363,12148065100
364,12196297400
365,12230981800
366,12260265000
367,12296655800
368,12324191300
369,12359303100
370,12388325000
371,12421166700
372,12452351500
373,12485126800
374,12516585400
375,12548372100
376,12596010700
377,12627745800
378,12660122100
379,12691843400
380,12724208500
381,12756350200
382,12788556700
383,12820512800
384,12851907700
385,12884562100
386,12917381400
387,12947953100
388,12998431900
389,13028535900
390,13061511900
391,13092040600
392,13124425500
393,13156833800
394,13188978000
395,13220284400
396,13252957700
397,13284274000
398,13316803800
399,13348271900
400,13396018900
401,13429835000
402,13460275800
403,13492845000
404,13524258100
405,13556912700
406,13588043400
407,13625558500
408,13652388000
409,13684386800
410,13716681900
411,13747874100
412,13780323100
413,13827769500
414,13862665400
415,13892188400
416,13933648600
417,13956807000
418,13994365600
419,14019880200
420,14054552200
421,14085011400
422,14119856500
423,14148672700
424,14185097400
425,14232914600
426,14260180900
427,14296091400
428,14324420000
429,14358612700
430,14388424400
431,14428286500
432,14452837700
433,14484602400
434,14516344100
435,14548720000
436,14580531600
437,14628052600
438,14660640900
439,14692150100
440,14725789500
441,14756430900
442,14788533300
443,14820138700
444,14852769700
445,14884132000
446,14917803800
447,14948701100
448,14982219400
449,15028049900
450,15061189200
451,15092186600
452,15127709400
453,15156561900
454,15189120800
455,15220417300
456,15252026700
457,15284231200
458,15316726500
459,15348236900
460,15380249200
461,15433332500
462,15459972500
463,15492970200
464,15524305000
465,15563843000
466,15588243100
467,15620736900
468,15652497700
469,15684536700
470,15716166500
471,15748845300
472,15780906700
473,15827789700
474,15865124000
475,15893134800
476,15925826300
477,15956320500
478,15994199000
479,16020552400
480,16056006900
481,16084391500
482,16119567400
483,16148477800
484,16180606100
485,16229657800
486,16259937600
487,16292724600
488,16324316500
489,16356249400
490,16388275000
491,16421518600
492,16452313000
493,16485162600
494,16516730200
495,16558713300
496,16580745400
497,16628794500
498,16660817000
499,16692256000
500,16724266900
501,16755830600
502,16788335000
503,16819876100
504,16852338400
505,16884349100
506,16926532700
507,16948044500
508,16987531400
509,17028158500
510,17060173400
511,17091849100
512,17123997100
513,17156189600
514,17188502800
515,17220806600
516,17251805300
517,17284088600
518,17316235100
519,17349152700
520,17381068400
521,17434026100
522,17460132700
523,17492761500
524,17524439600
525,17557320800
526,17588659100
527,17620416900
528,17652062100
529,17689638400
530,17716225700
531,17748241700
532,17780542400
533,17828308500
534,17860590000
535,17892265800
536,17924448500
537,17956611700
538,17991084400
539,18020067300
540,18058804500
541,18084123000
542,18118736200
543,18148426100
544,18184905100
545,18228916800
546,18260608200
547,18298372800
548,18324326100
549,18361106400
550,18388114900
551,18420374500
552,18452498100
553,18486606000
554,18516533600
555,18549450000
556,18580640200
557,18628524600
558,18660280100
559,18692743800
560,18724389500
561,18756526100
562,18788375900
563,18820618800
564,18852346900
565,18884294000
566,18916303300
567,18948037900
568,18980145900
569,19028552800
570,19060522700
571,19092910200
572,19129807800
573,19156990400
574,19188185100
575,19220190400
576,19252435800
577,19284444800
578,19316507600
579,19348459600
580,19379879900
581,19431503400
582,19460610300
583,19493077000
584,19524447500
585,19557166500
586,19588065300
587,19621365800
588,19652708700
589,19689552100
590,19716619900
591,19748796000
592,19780361000
593,19828441700
594,19862845800
595,19893218000
596,19924513800
597,19956355800
598,19992818600
599,20020928800
600,20052135200
601,20084303500
602,20116750800
603,20148033900
604,20184920200
605,20240080900
606,20260249500
607,20298011200
608,20325149700
609,20361319600
610,20388353600
611,20424420800
612,20452931000
613,20488321100
614,20516268900
615,20549516500
616,20580468400
617,20615852000
618,20660433500
619,20692472400
620,20726292300
621,20756508400
622,20788740300
623,20820766900
624,20853965400
625,20884577500
626,20917246400
627,20948506200
628,20985239900
629,21012884400
630,21066364400
631,21092737600
632,21130480100
633,21155894200
634,21188461700
635,21220283500
636,21252747600
637,21284013900
638,21316436800
639,21348909700
640,21380857100
641,21412692900
642,21460711200
643,21495860000
644,21524364800
645,21557098300
646,21588772900
647,21621843000
648,21652668000
649,21686143700
650,21716067300
651,21750602500
652,21780342200
653,21812990200
654,21865479900
655,21892161700
656,21926193500
657,21956707900
658,21995491800
659,22020594600
660,22056326900
661,22084547600
662,22118389200
663,22148276600
664,22184591700
665,22212642100
666,22261078000
667,22292855000
668,22324731000
669,22356827600
670,22388732800
671,22426391000
672,22452530500
673,22489255200
674,22516130800
675,22549524600
676,22580104600
677,22614389200
678,22660382300
679,22692837400
680,22724467900
681,22756316100
682,22790538200
683,22821358600
684,22852622900
685,22885159200
686,22918303200
687,22948546800
688,22983434700
689,23012579400
690,23060640400
691,23092535900
692,23124593300
693,23156258700
694,23188262700
695,23220319400
696,23252654500
697,23285103200
698,23319282000
699,23349948800
700,23380788700
701,23412865900
702,23460325200
703,23492609600
704,23524685100
705,23557843900
706,23588855500
707,23621897500
708,23652627800
709,23687535700
710,23717480500
711,23749612500
712,23780518700
713,23816004200
714,23866089600
715,23892661400
716,23925171000
717,23956478500
718,23994870500
719,24021370300
720,24053795700
721,24084918600
722,24121188600
723,24148165000
724,24184716000
725,24212894800
726,24262854900
727,24297206200
728,24324264600
729,24356470300
730,24388355500
731,24420901800
732,24452882500
733,24484521600
734,24517347600
735,24550489000
736,24580922100
737,24613444900
738,24661314900
739,24692701400
740,24727952100
741,24757486500
742,24789781600
743,24820770300
744,24856103400
745,24884943200
746,24917102000
747,24948491900
748,24987806000
749,25012999300
750,25061017300
751,25092058600
752,25124442800
753,25156631500
754,25189183000
755,25220530700
756,25252562400
757,25284615600
758,25316913900
759,25348736900
760,25380731500
761,25413000300
762,25460468700
763,25493628700
764,25525286100
765,25557967900
766,25588370100
767,25624451000
768,25652540000
769,25686807800
770,25716876500
771,25748883400
772,25780924000
773,25813396200
774,25844577500
775,25892453600
776,25925101100
777,25956025500
778,25989852000
779,26020497800
780,26057049000
781,26084533000
782,26117835500
783,26149152400
784,26180820800
785,26212915900
786,26244489800
787,26296044300
788,26324217300
789,26360249800
790,26388657600
791,26423945100
792,26452581100
793,26485337600
794,26516725200
795,26554808800
796,26580904600
797,26616344400
798,26644960400
799,26692818000
800,26725118800
801,26756408500
802,26788524200
803,26820960200
804,26855486800
805,26884429300
806,26917171400
807,26948641600
808,26982958100
809,27012328900
