frame_idx,t_ns
0,70188500
1,102991900
2,133859800
3,165940600
4,198188900
5,230164000
6,262104300
7,293946700
8,326174700
9,358151200
10,390683000
11,422851100
12,470972800
13,502035400
14,535194000
15,566267200
16,598713200
17,630171800
18,662961900
19,694303000
20,726729900
21,757797600
22,794372400
23,822048000
24,869726800
25,901742100
26,934130700
27,966279300
28,999251000
29,1030089300
30,1061992700
31,1094098500
32,1125883500
33,1160758300
34,1190056900
35,1222110700
36,1269807400
37,1304997900
38,1334097100
39,1365847400
40,1397982300
41,1430456400
42,1462639700
43,1494099000
44,1526498700
45,1557958100
46,1590463100
47,1622642600
48,1671067700
49,1701654400
50,1734545400
51,1765880600
52,1802008300
53,1830860700
54,1862298200
55,1894800300
56,1926510600
57,1958989500
58,1990214800
59,2022898000
60,2070340700
61,2103573000
62,2134366200
63,2166968000
64,2197677400
65,2231691900
66,2262297800
67,2295259700
68,2325983100
69,2358162300
70,2390188800
71,2422288100
72,2470667800
73,2502754100
74,2537635500
75,2566444100
76,2605543200
77,2630113300
78,2666978200
79,2694104400
80,2726545900
81,2758462500
82,2793982700
83,2822068300
84,2870713300
85,2901879100
86,2936557200
87,2968256000
88,2998541200
89,3030626300
90,3062142700
91,3094683700
92,3126869300
93,3159110100
94,3189752200
95,3222625900
96,3270037600
97,3304375400
98,3334164100
99,3366117700
100,3398250600
101,3431221400
102,3462394700
103,3494750200
104,3526951500
105,3558110200
106,3591041100
107,3622269900
108,3670289100
109,3702282000
110,3735406300
111,3766924700
112,3798191100
113,3829868300
114,3861955400
115,3894315700
116,3932405800
117,3958116400
118,3993957100
119,4022336600
120,4070227700
121,4103566400
122,4134722700
123,4169329500
124,4198366300
125,4231003100
126,4262299100
