frame_idx,t_ns
0,65718800
1,97033800
2,129334500
3,161555300
4,194291100
5,225358000
6,257611700
7,289676300
8,321308300
9,353453500
10,385389300
11,417481700
12,465444400
13,497213600
14,529722800
15,561112400
16,593560900
17,624919400
18,657419000
19,689385100
20,721333500
21,753284400
22,785363100
23,817455900
24,865358600
25,904335400
26,929138400
27,961202600
28,993239600
29,1026083900
30,1057257200
31,1089978100
32,1121484500
33,1152931500
34,1185382900
35,1217048600
36,1266044700
37,1297659300
38,1330832600
39,1361532400
40,1396460600
41,1425703300
42,1460296300
43,1489106600
44,1521021800
45,1553282400
46,1589418800
47,1617232600
48,1665234100
49,1697212900
50,1729258800
51,1761260800
52,1793669200
53,1825573900
54,1857038800
55,1891876100
56,1921622900
57,1954803700
58,1985612000
59,2018017500
60,2065496400
61,2099044000
62,2129002500
63,2161111100
64,2193233400
65,2225462300
66,2257376900
67,2289843400
68,2321442000
69,2353379300
70,2385393400
71,2417427800
72,2469118600
73,2497331500
74,2533346000
75,2561359000
76,2593822100
77,2625393200
78,2657686600
79,2689363100
80,2721495000
81,2753361300
82,2784997000
83,2817329600
84,2865217500
85,2902584300
86,2929030500
87,2966586200
88,2993336800
89,3029417200
90,3057493100
91,3093086700
92,3121266100
93,3154514000
94,3185675600
95,3221613600
96,3265777600
97,3297296400
98,3332572800
99,3361549300
100,3395854900
101,3425402900
