frame_idx,t_ns
0,33535900
1,65349100
2,97411800
3,130046400
4,161857700
5,193926100
6,225476200
7,257428600
8,289945400
9,321620900
10,369523400
11,401726100
12,433569800
13,465187600
14,497797900
15,530082300
16,561940400
17,593825700
18,625255400
19,657231700
20,689892100
21,721332100
22,769802600
23,803970200
24,833647200
25,865304500
26,897776000
27,929914000
28,961814000
29,994726900
30,1025791700
31,1057554800
32,1089558700
33,1121838300
34,1173005700
35,1201753900
36,1233383300
37,1265513000
38,1297211400
39,1329294800
40,1361968200
41,1393549400
42,1425618500
43,1457691700
44,1490311000
45,1521225100
46,1570198100
47,1601318900
48,1633522700
49,1665223700
50,1697745500
51,1730209900
52,1761835800
53,1794448600
54,1826083800
55,1858434800
56,1890097400
57,1921504400
58,1970151800
59,2005143000
60,2034606400
61,2065655400
62,2097612100
63,2129953700
64,2161958000
65,2194667100
66,2225338200
67,2257975500
68,2289128200
69,2321568800
70,2369898900
71,2401205000
72,2434693500
73,2465985400
74,2500832700
75,2529577500
76,2561202100
77,2593365000
78,2626004100
79,2657966100
80,2689800400
81,2721779300
82,2769969500
83,2802353300
84,2834071200
85,2866252800
86,2897284300
87,2929914500
88,2961959200
89,2996622100
90,3025954600
91,3062155900
92,3090054900
93,3122223800
94,3170062900
95,3201413700
96,3233878800
97,3266209500
98,3300156100
99,3329899400
100,3362636200
101,3393489300
102,3427162300
103,3458374700
104,3490881300
105,3521991200
106,3569286300
107,3601417700
108,3633051400
109,3665538400
110,3698019300
111,3731170300
112,3762368500
113,3793170500
114,3826060500
115,3857601500
116,3890682800
117,3921600600
118,3969563200
119,4001937700
120,4033348800
121,4066138300
122,4097549200
123,4130164000
124,4161445200
125,4193363300
126,4226140100
127,4257467700
128,4289978000
129,4321951600
130,4373763500
131,4401187400
132,4436248800
133,4465499200
134,4498670000
135,4529412100
136,4561979700
137,4593776800
138,4626108600
139,4658032100
140,4692395900
141,4722114800
142,4769367100
143,4802733200
144,4833204700
145,4867888800
146,4897404200
147,4931947200
148,4962429000
149,4993828400
150,5025793700
151,5058403400
152,5090101800
