frame_idx,t_ns
0,60665100
1,108737900
2,140979500
3,172460700
4,205017300
5,237138100
6,269351700
7,301311900
8,333875200
9,365555300
10,396882500
11,429302700
12,460711600
13,508666200
14,540784200
15,572964400
16,606554000
17,636777000
18,668411000
19,700600400
20,733528500
21,765197000
22,798239100
23,829492900
24,861348900
25,909386300
26,940749800
27,975868700
28,1004950900
29,1038767000
30,1068946400
31,1101966800
32,1133803800
33,1165916100
34,1197339400
35,1228853600
36,1260907800
37,1308626800
38,1341096000
39,1372874400
40,1406178000
41,1436819900
42,1468588300
43,1500910600
44,1533705800
45,1565035400
46,1597150900
47,1629667200
48,1661907800
49,1708728700
50,1740660600
51,1772662600
52,1805162900
53,1837271000
54,1869390600
55,1900885300
56,1932808900
57,1964782200
58,1996788700
59,2029059300
60,2060752700
61,2108628300
62,2140668200
63,2172505100
64,2204565200
65,2237221700
66,2269209200
67,2304644700
68,2333100300
69,2365279000
70,2397179800
71,2429467300
72,2460772100
73,2508503800
74,2541697800
75,2573081100
76,2606529000
77,2636867400
78,2669322700
79,2701347800
80,2733759500
81,2765287100
82,2802988200
83,2829189000
84,2861006500
85,2909136600
86,2940888400
87,2972888100
88,3004889200
89,3038481400
90,3069085900
91,3103015900
92,3132700700
93,3165150400
94,3196957700
95,3229248900
96,3261076600
97,3309172100
98,3340639800
99,3372835700
100,3404688600
101,3437055800
102,3469980900
103,3501586000
104,3532755700
105,3565159200
106,3597518300
107,3629125400
108,3664226100
109,3709383800
110,3744419600
111,3772847600
112,3805096800
113,3836751300
114,3868721600
115,3901197300
116,3933150500
117,3964800100
118,3996758000
119,4031187400
120,4060759800
121,4110526600
122,4141406300
123,4173232800
124,4205166100
125,4239620700
126,4268818100
127,4301152500
128,4332894600
129,4364757900
130,4396957900
131,4429676700
132,4461288400
133,4508793900
134,4542416300
135,4572557500
136,4604955600
137,4636711000
138,4669922400
139,4701257000
140,4736775900
141,4764816800
142,4803221000
143,4829480300
144,4865391400
145,4908859200
146,4941182600
147,4973725100
148,5005258900
149,5039416700
150,5068918400
151,5100864200
152,5132674800
153,5165153800
154,5197037100
155,5230526800
156,5261151500
157,5308916600
158,5340832700
159,5372795100
160,5405111300
161,5436638100
162,5469311500
163,5500647200
164,5534108800
165,5565009800
166,5598470800
167,5628988200
168,5661609100
169,5709345000
170,5741074600
