set,act,trial,start,end
1,1,1,43.916693925857544,47.159873723983765
1,1,2,53.46697521209717,56.678746461868286
1,1,3,63.2995810508728,66.51748371124268
1,1,4,74.37655329704285,77.59624576568604
1,1,5,93.35338568687439,96.58017063140869
1,1,6,104.91403079032898,108.12688088417053
1,1,7,112.83586597442627,116.05892610549927
1,1,8,123.04218101501465,126.2563796043396
1,1,9,137.98400855064392,141.1982707977295
1,1,10,149.4680004119873,152.68445205688477
1,1,11,158.8807990550995,162.0937922000885
1,1,12,169.56576251983643,172.77518701553345
1,1,13,188.65134859085083,191.87084794044495
1,1,14,197.03522729873657,200.24805903434753
1,1,15,206.54361939430237,209.75606060028076
1,1,16,214.57238006591797,217.78592610359192
1,2,1,244.67332983016968,247.88467931747437
1,2,2,254.20400166511536,257.4096791744232
1,2,3,261.7594213485718,264.9789056777954
1,2,4,269.54830265045166,272.7775456905365
1,2,5,280.42710995674133,283.6407256126404
1,2,6,289.16699981689453,292.391282081604
1,2,7,296.80745244026184,300.02293157577515
1,2,8,305.34333395957947,308.5655429363251
1,2,9,316.66327476501465,319.88665795326233
1,2,10,323.4599940776825,326.67273330688477
1,2,11,331.433650970459,334.6490137577057
1,2,12,339.91707468032837,343.13334345817566
1,2,13,352.29319739341736,355.5082666873932
1,2,14,359.7127876281738,362.9456031322479
1,2,15,367.6204423904419,370.8474509716034
1,2,16,374.7990481853485,378.00717544555664
