set,act,trial,start,end
1,1,1,32.4633572101593,35.812995195388794
1,1,2,41.34416961669922,44.65908980369568
1,1,3,49.30042624473572,52.63424301147461
1,1,4,57.44819736480713,60.78292798995972
1,1,5,82.16793966293335,85.51613473892212
1,1,6,90.59683966636658,93.94476342201233
1,1,7,98.12365674972534,101.47657656669617
1,1,8,106.68816018104553,110.03167676925659
1,1,9,122.91973614692688,126.28017258644104
1,1,10,144.12040996551514,147.46062684059143
1,1,11,156.0303440093994,159.3658411502838
1,1,12,167.78813648223877,171.12824273109436
1,1,13,178.877338886261,182.2006688117981
1,1,14,188.36731910705566,191.70978474617004
1,1,15,201.70425415039062,205.04541778564453
1,1,16,211.86157536506653,215.20818519592285
1,1,17,226.96266508102417,230.3167266845703
1,1,18,237.5695095062256,240.913889169693
1,1,19,261.922634601593,265.26932525634766
1,1,20,269.2392225265503,272.5272448062897
1,1,21,276.9746985435486,280.2760155200958
1,1,22,287.33765053749084,290.64512491226196
1,1,23,295.0100600719452,298.30517649650574
1,1,24,305.88446068763733,309.17681193351746
1,1,25,313.6573283672333,316.965713262558
1,1,26,334.4173216819763,337.71492862701416
1,1,27,343.31891107559204,346.6202096939087
1,1,28,351.076153755188,354.3728265762329
1,1,29,360.71304273605347,364.017635345459
1,1,30,370.708309173584,374.0269374847412
1,1,31,380.9943642616272,384.2910215854645
1,1,32,388.95989418029785,392.29626202583313
1,2,1,458.52751421928406,461.8678205013275
1,2,2,466.17917037010193,469.5186598300934
1,2,3,472.6392047405243,475.97717332839966
1,2,4,479.11521100997925,482.44275999069214
1,2,5,485.26314330101013,488.6135606765747
1,2,6,492.01535272598267,495.361136674881
1,2,7,499.4448096752167,502.7871539592743
1,2,8,508.02428936958313,511.3749258518219
1,2,9,519.7862606048584,523.1330859661102
1,2,10,526.1359920501709,529.4766826629639
1,2,11,533.1773746013641,536.5432643890381
1,2,12,542.2258474826813,545.5622811317444
1,2,13,550.0991983413696,553.4420087337494
1,2,14,558.1650242805481,561.528037071228
1,2,15,568.3517456054688,571.6839001178741
1,2,16,576.2302143573761,579.5719392299652
1,2,17,590.7718939781189,594.0894281864166
1,2,18,597.9297347068787,601.2718589305878
1,2,19,604.9400334358215,608.2664706707001
1,2,20,612.259622335434,615.5950825214386
1,2,21,618.7346279621124,622.0806014537811
1,2,22,625.5210204124451,628.8581871986389
1,2,23,631.4871513843536,634.8234193325043
1,2,24,638.7755079269409,642.1172008514404
1,2,25,663.5371837615967,666.8565413951874
1,2,26,670.8344242572784,674.154641866684
1,2,27,677.8537123203278,681.1921164989471
1,2,28,684.5613577365875,687.919438123703
1,2,29,690.8863286972046,694.2145636081696
1,2,30,698.7262756824493,702.0467350482941
1,2,31,705.2585325241089,708.580664396286
1,2,32,711.6093909740448,714.9623670578003
